,A1_TRS1,A1_TRS2,A1_TRS3,A2_TRS1,A2_TRS2,A2_TRS3,A2_TRS4,A3_TRS1,A3_TRS2,A3_TRS3,A3_TRS4,A4_TRS1,A4_TRS2,A4_TRS3,A6_TRS1,A6_TRS2,B1_TRS1,B1_TRS2,B1_TRS3,B2_TRS1,B2_TRS2,B2_TRS3,B2_TRS4,B3_TRS1,B3_TRS2,B3_TRS3,B3_TRS4,B4_TRS1,B4_TRS2,B4_TRS3,B4_TRS4,B5_TRS1,B5_TRS2,B5_TRS3,C1_TRS1,C1_TRS2,C1_TRS3,C2_TRS1,C2_TRS2,C2_TRS3,C3_TRS1,C3_TRS2,C3_TRS3,C3_TRS4,C4_TRS1,C4_TRS2,C4_TRS3,C4_TRS4,C5_TRS1,C5_TRS2,C5_TRS3,C6_TRS1,C6_TRS2,C6_TRS3,C7_TRS1,C7_TRS2,C7_TRS3,C7_TRS4,C8_TRS1,C8_TRS2,C8_TRS3,C8_TRS4,C8A_TRS1
0,14050.5,41440.9,40988.7,18088.0,68443.7,76583.3,79942.5,76131.1,65536.7,72771.9,59238.2,62888.1,51195.5,49935.8,0.0,0.0,12370.9,44347.9,54167.1,21124.2,59916.5,48773.0,40794.9,76583.3,35885.3,78521.3,107849.7,44767.8,75872.7,59722.7,67280.9,44767.8,125097.9,57332.5,20898.1,42959.0,67442.4,73094.9,20478.2,38049.4,107752.8,61854.5,45607.6,34916.3,87436.1,45220.0,16828.3,37952.5,55136.1,63598.7,54037.9,53424.2,41408.6,22642.3,30362.0,54360.9,58818.3,47965.5,0.0,0.0,0.0,0.0,17022.1
1,7429.0,43669.6,30329.7,14858.0,66311.9,62145.2,38598.5,59722.7,53424.2,69509.6,48869.9,55911.3,8624.1,33172.1,18346.4,0.0,7525.9,43088.2,36434.4,14858.0,55588.3,38760.0,31266.4,62565.1,24741.8,61886.8,98579.6,35594.6,67474.7,57817.0,59690.4,27874.9,108689.5,54877.7,11240.4,54619.3,61628.4,60562.5,17183.6,22190.1,66957.9,54070.2,35820.7,25258.6,37920.2,35820.7,11563.4,32719.9,35368.5,59238.2,40859.5,45962.9,35336.2,17829.6,12532.4,40762.6,32332.3,41117.9,0.0,0.0,0.0,0.0,0.0
2,6847.6,41117.9,27325.8,15859.3,63275.7,52907.4,32267.7,50711.0,48127.0,66538.0,42442.2,52842.8,14567.3,33172.1,0.0,0.0,6653.8,42700.6,30168.2,15374.8,54910.0,34884.0,28101.0,55652.9,23191.4,58463.0,89955.5,33139.8,65310.6,56525.0,55846.7,21576.4,89309.5,42894.4,10336.0,44638.6,54231.7,55523.7,28004.1,19218.5,45769.1,48966.8,32816.8,21705.6,26776.7,34754.8,10755.9,32073.9,41537.8,56944.9,35853.0,40052.0,33139.8,14631.9,14954.9,40988.7,29199.2,37112.7,0.0,15600.9,0.0,0.0,0.0
3,6783.0,37597.2,26066.1,15568.6,62306.7,63824.8,32429.2,48256.2,47804.0,63275.7,42506.8,48385.4,14050.5,28747.0,0.0,0.0,5943.2,41053.3,30426.6,11886.4,51744.6,33850.4,27132.0,53844.1,19864.5,50194.2,85078.2,31880.1,61628.4,53521.1,59432.0,12855.4,82526.5,30878.8,10336.0,16053.1,57235.6,54554.7,41473.2,18281.8,39535.2,49451.3,30620.4,18604.8,21544.1,31912.4,10400.6,31750.9,22254.7,57009.5,34205.7,39018.4,32170.8,14954.9,10303.7,36951.2,29457.6,38469.3,0.0,0.0,0.0,0.0,0.0
4,16699.1,42959.0,32978.3,18766.3,69315.8,63598.7,65569.0,58559.9,53585.7,64180.1,51550.8,51615.4,43960.3,26647.5,0.0,0.0,9819.2,43701.9,39212.2,14179.7,55168.4,39922.8,35756.1,58850.6,27035.1,65859.7,85272.0,38533.9,67087.1,64890.7,65149.1,16602.2,84303.0,34851.7,14470.4,15568.6,61725.3,76518.7,43637.3,22448.5,41053.3,55620.6,35207.0,19896.8,16473.0,30232.8,14179.7,32106.2,9173.2,62565.1,34399.5,29812.9,36918.9,18346.4,25387.8,46996.5,38824.6,42668.3,0.0,0.0,0.0,0.0,0.0
5,44670.9,42183.8,44154.1,30329.7,85821.1,90536.9,80233.2,71932.1,63889.4,71512.2,79684.1,70510.9,51389.3,59755.0,0.0,0.0,14212.0,45187.7,54134.8,26873.6,74709.9,52584.4,54393.2,82655.7,34367.2,99871.6,99419.4,50291.1,78585.9,74709.9,66796.4,47642.5,103230.8,81040.7,23772.8,23611.3,67248.6,95317.3,27616.5,41602.4,39018.4,65116.8,47965.5,21641.0,17022.1,37984.8,26292.2,34334.9,40665.7,66764.1,52067.6,51001.7,45446.1,23966.6,42183.8,116473.8,83883.1,49580.5,0.0,0.0,0.0,0.0,0.0
6,47642.5,41279.4,46059.8,30652.7,88211.3,96157.1,80620.8,85142.8,84335.3,74160.8,91990.4,83786.2,78941.2,77907.6,0.0,0.0,17538.9,46899.6,57429.4,36725.1,96609.3,56137.4,69574.2,89664.8,35013.2,114438.9,113405.3,49419.0,86564.0,92022.7,71609.1,81460.6,126260.7,96480.1,35530.0,48708.4,76841.7,118250.3,55911.3,40859.5,79038.1,82591.1,47254.9,27810.3,45252.3,39502.9,27487.3,43282.0,111693.4,69025.1,49645.1,69703.4,53488.8,24063.5,51098.6,135950.7,73644.0,50291.1,0.0,0.0,0.0,0.0,12274.0
7,45769.1,40471.9,46156.7,30620.4,88566.6,100485.3,80879.2,96383.2,86241.0,73999.3,106396.2,92636.4,106363.9,73321.0,0.0,0.0,18314.1,47222.6,57041.8,45123.1,94800.5,55652.9,70091.0,92281.1,35562.3,124742.6,119316.2,50420.3,80039.4,88082.1,75840.4,85627.3,142701.4,97029.2,50775.6,37500.3,77810.7,123030.7,17668.1,43637.3,137598.0,97481.4,46899.6,48127.0,82849.5,66344.2,27971.8,118347.2,71964.4,68508.3,65181.4,82881.8,57300.2,24160.4,46059.8,127358.9,81815.9,52939.7,0.0,0.0,0.0,0.0,54134.8
8,47674.8,39115.3,44412.5,31944.7,92797.9,99807.0,80976.1,94800.5,82817.2,74225.4,105039.6,87856.0,75323.6,47061.1,0.0,0.0,19444.6,46382.8,54360.9,43443.5,91635.1,55265.3,78327.5,88179.0,33430.5,127552.7,118056.5,49289.8,81912.8,87500.7,76615.6,54813.1,147998.6,85304.3,59819.6,33301.3,78230.6,128941.6,24451.1,42894.4,109012.5,91958.1,47771.7,36951.2,77843.0,51776.9,28262.5,67636.2,46867.3,68831.3,66376.5,46641.2,58786.0,24354.2,24644.9,66538.0,86370.2,55394.5,0.0,0.0,0.0,0.0,38114.0
9,48320.8,40762.6,45898.3,33365.9,92571.8,100291.5,81105.3,94671.3,80653.1,73385.6,109497.0,89761.7,61208.5,50614.1,0.0,0.0,19153.9,47739.4,56686.5,37564.9,92765.6,55652.9,71673.7,90536.9,33333.6,122772.3,117345.9,48966.8,80265.5,86241.0,76551.0,72481.2,126486.8,58979.8,32396.9,32881.4,78069.1,134981.7,26453.7,43023.6,45284.6,89018.8,47933.2,28294.8,85498.1,60659.4,28165.6,44347.9,96060.2,65149.1,54102.5,61434.6,58463.0,24871.0,22642.3,48159.3,70575.5,53262.7,0.0,0.0,0.0,0.0,29554.5
10,47642.5,43895.7,46835.0,34044.2,99710.1,100808.3,80459.3,95866.4,86305.6,74677.6,110498.3,90536.9,88663.5,55394.5,0.0,0.0,19929.1,48482.3,56460.4,38533.9,98644.2,56072.8,74031.6,94477.5,32946.0,124290.4,117733.5,50226.5,81105.3,84399.9,76712.5,83818.5,128844.7,87759.1,42474.5,83011.0,78295.2,135886.1,18734.0,43960.3,58172.3,90020.1,47739.4,25097.1,80556.2,59335.1,28165.6,47448.7,73708.6,65569.0,73837.8,27713.4,57913.9,25097.1,27035.1,67410.1,85627.3,53747.2,0.0,0.0,0.0,0.0,20155.2
11,46479.7,46705.8,45381.5,33559.7,98515.0,97642.9,80297.8,94122.2,83398.6,72287.4,110239.9,85562.7,82720.3,59981.1,0.0,0.0,18830.9,50065.0,56072.8,38792.3,97546.0,55459.1,73676.3,90892.2,33721.2,124032.0,116538.4,49063.7,81880.5,80104.0,78036.8,103004.7,135110.9,74193.1,37274.2,60627.1,78553.6,131525.6,36757.4,44283.3,65278.3,89955.5,47997.8,41796.2,87565.3,68992.8,28327.1,66118.1,42506.8,66925.6,54877.7,57267.9,56040.5,24160.4,39535.2,53456.5,67797.7,55362.2,0.0,0.0,0.0,0.0,29877.5
12,45672.2,44703.2,46092.1,31395.6,92248.8,96996.9,80750.0,96544.7,86564.0,71996.7,107914.3,88631.2,64890.7,74354.6,0.0,0.0,18604.8,49160.6,56395.8,39890.5,95931.0,54199.4,73191.8,89664.8,34561.0,125420.9,114761.9,47933.2,78779.7,79167.3,79458.0,77100.1,130169.0,79716.4,74483.8,51970.7,76777.1,133851.2,35756.1,44541.7,74903.7,90278.5,48643.8,53036.6,121480.3,70543.2,28682.4,52390.6,75905.0,67797.7,69057.4,65698.2,59690.4,25355.5,40245.8,44477.1,88017.5,56105.1,0.0,0.0,0.0,0.0,38437.0
13,45058.5,44347.9,44670.9,31427.9,90504.6,97739.8,80976.1,97513.7,85368.9,73611.7,111564.2,90504.6,61789.9,67668.5,0.0,0.0,18088.0,49515.9,56105.1,40213.5,99742.4,54328.6,69606.5,91828.9,35142.4,125162.5,117572.0,49838.9,83172.5,80976.1,80330.1,90827.6,124678.0,89794.0,63372.6,71932.1,78553.6,134755.6,23482.1,45446.1,83140.2,89955.5,49483.6,39147.6,118379.5,90343.1,29199.2,74451.5,80879.2,68831.3,55136.1,75032.9,61434.6,26486.0,46479.7,65278.3,111435.0,53908.7,0.0,0.0,0.0,0.0,69509.6
14,45058.5,44477.1,45898.3,33850.4,84981.3,95834.1,81331.4,96996.9,85982.6,73417.9,111338.1,91538.2,109335.5,71092.3,0.0,0.0,19186.2,49612.8,55491.4,35110.1,99516.3,53844.1,67313.2,90795.3,35336.2,125614.7,118314.9,49451.3,86111.8,77100.1,81266.8,62985.0,133883.5,96157.1,53456.5,33430.5,78521.3,131880.9,25194.0,46608.9,78456.7,96286.3,48740.7,58204.6,113889.8,83689.3,28553.2,47997.8,76066.5,67474.7,76357.2,60433.3,62791.2,25872.3,37112.7,97384.5,82074.3,53036.6,0.0,0.0,0.0,0.0,106137.8
15,45187.7,44024.9,45413.8,30652.7,83107.9,94929.7,81137.6,95511.1,86434.8,74936.0,100065.4,90310.8,130362.8,81266.8,0.0,0.0,17571.2,48869.9,54070.2,33785.8,94671.3,53424.2,67765.4,91635.1,36757.4,121221.9,119477.7,49451.3,86693.2,79005.8,80976.1,46608.9,147223.4,79102.7,65956.6,70220.2,78618.2,127003.6,22190.1,45543.0,94445.2,94994.3,48805.3,62468.2,117830.4,62080.6,28488.6,82752.6,67539.3,64277.0,59658.1,37500.3,62112.9,25000.2,41440.9,86919.3,79264.2,54393.2,0.0,0.0,0.0,0.0,59270.5
16,44380.2,42765.2,45478.4,32106.2,83430.9,93056.3,80717.7,95640.3,86983.9,75582.0,93540.8,89115.7,56654.2,55556.0,0.0,0.0,18152.6,48191.6,54167.1,35562.3,95188.1,54231.7,60207.2,90989.1,39050.7,113469.9,119413.1,48805.3,82042.0,78004.5,79264.2,43928.0,130459.7,60497.9,66085.8,56654.2,78844.3,127035.9,28520.9,44089.5,71189.2,90763.0,48450.0,53811.8,58140.0,59205.9,28036.4,40988.7,93863.8,65342.9,79490.3,60917.8,59335.1,25032.5,31589.4,65633.6,78101.4,56105.1,0.0,0.0,0.0,0.0,25969.2
